index,predicted_copy_number
ASV1202,1.828916836
ASV1203,2.303499941
ASV1204,2.433326865
ASV1205,4.608486954
ASV1206,2.55085337
ASV1207,2.196536542
ASV1208,3.192679962
ASV1209,1.968551577
ASV1210,1.664216747
ASV1211,2.953300434
ASV1212,2.482808044
ASV1213,3.378312063
ASV1214,2.091176969
ASV1215,1.712306228
ASV1216,2.384948312
ASV1217,2.250399968
ASV1218,1.202218114
ASV1219,1.97969773
ASV1220,2.830315775
ASV1221,2.47255249
ASV1222,1.816348649
ASV1223,2.346414854
ASV1224,2.771627858
ASV1225,2.530281715
ASV1226,1.299696993
ASV1227,3.387963991
ASV1228,1.395069304
ASV1229,6.435146695
ASV1230,1.921038043
ASV1231,1.529103769
ASV1232,1.642563632
ASV1233,4.719240422
ASV1234,2.099063799
ASV1235,1.934062604
ASV1236,1.822799546
ASV1237,2.634574798
ASV1238,2.90733775
ASV1239,2.240399165
ASV1240,1.712197075
ASV1241,1.616909771
ASV1242,1.321632113
ASV1243,1.714104941
ASV1244,2.217721947
ASV1245,1.407929317
